ChemblID;Score;Smile;ROMol;tanimoto_maccs;dice_maccs;tanimoto_morgan;dice_morgan
CHEMBL221959;1.0; C[C@@H]1CCN(C[C@@H]1N(C)C1=C2C=CNC2=NC=N1)C(=O)CC#N;<rdkit.Chem.rdchem.Mol object at 0x7f5ace5a57b0>;1.0;1.0;1.0;1.0
CHEMBL459769;0.999; C[C@H]1CCN(C[C@H]1N(C)C1=C2C=CNC2=NC=N1)C(=O)CC#N;<rdkit.Chem.rdchem.Mol object at 0x7f5ace5a5810>;1.0;1.0;1.0;1.0
CHEMBL4638316;0.999; CN(CC1CCCN1C1=C2C=CNC2=NC=N1)C(=O)CC#N;<rdkit.Chem.rdchem.Mol object at 0x7f5ace5a5870>;0.9454545454545454;0.9719626168224299;0.47297297297297297;0.6422018348623854
CHEMBL3689522;0.999; CC1CN(CC2(CCN2C(=O)CC#N)C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5ace5a58d0>;0.847457627118644;0.9174311926605505;0.4675324675324675;0.6371681415929203
CHEMBL3969009;0.999; CN(C1CCCN(C1)C1=C2C=CNC2=NC=N1)C(=O)CC#N;<rdkit.Chem.rdchem.Mol object at 0x7f5ace5a5930>;0.9272727272727272;0.9622641509433962;0.4931506849315068;0.6605504587155964
CHEMBL3693604;0.999; O=C(CC#N)N1CCC11CCCCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5ace5a5990>;0.7666666666666667;0.8679245283018868;0.4155844155844156;0.5871559633027523
CHEMBL3689515;0.999; O=C(CC#N)N1CCC11CCCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5ace5a59f0>;0.7966101694915254;0.8867924528301887;0.42105263157894735;0.5925925925925926
CHEMBL3689521;0.999; CC1CC2(CCCN(C2)C2=C3C=CNC3=NC=N2)N1C(=O)CC#N;<rdkit.Chem.rdchem.Mol object at 0x7f5ace5a5a50>;0.864406779661017;0.9272727272727272;0.45454545454545453;0.625
CHEMBL1630803;0.999; CC(C#N)C(=O)N1CCC(C)C(C1)N(C)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5ace5a5ab0>;0.9454545454545454;0.9719626168224299;0.734375;0.8468468468468469
CHEMBL3689519;0.999; O=C(CC#N)N1CCCC11CCCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5ace5a5b10>;0.8245614035087719;0.9038461538461539;0.4266666666666667;0.5981308411214953
